uvl_file,kr_file,features,groups,constraints,error
uvl_outputs_10models\ISO_DATA\ISO_DATA__Reduced_c1_M01.uvl,..\kr_outputs_10models\ISO_DATA__Reduced_c1_M01.kr.pl,53,13,5,
uvl_outputs_10models\ISO_DATA\ISO_DATA__Reduced_c1_M02.uvl,..\kr_outputs_10models\ISO_DATA__Reduced_c1_M02.kr.pl,77,23,7,
uvl_outputs_10models\ISO_DATA\ISO_DATA__Reduced_c1_M03.uvl,..\kr_outputs_10models\ISO_DATA__Reduced_c1_M03.kr.pl,111,37,9,
uvl_outputs_10models\ISO_DATA\ISO_DATA__Reduced_c1_M04.uvl,..\kr_outputs_10models\ISO_DATA__Reduced_c1_M04.kr.pl,153,55,9,
uvl_outputs_10models\ISO_DATA\ISO_DATA__Reduced_c1_M05.uvl,..\kr_outputs_10models\ISO_DATA__Reduced_c1_M05.kr.pl,206,77,13,
uvl_outputs_10models\ISO_DATA\ISO_DATA__Reduced_c1_M06.uvl,..\kr_outputs_10models\ISO_DATA__Reduced_c1_M06.kr.pl,254,97,13,
uvl_outputs_10models\ISO_DATA\ISO_DATA__Reduced_c1_M07.uvl,..\kr_outputs_10models\ISO_DATA__Reduced_c1_M07.kr.pl,301,117,13,
uvl_outputs_10models\ISO_DATA\ISO_DATA__Reduced_c1_M08.uvl,..\kr_outputs_10models\ISO_DATA__Reduced_c1_M08.kr.pl,351,137,13,
uvl_outputs_10models\ISO_DATA\ISO_DATA__Reduced_c1_M09.uvl,..\kr_outputs_10models\ISO_DATA__Reduced_c1_M09.kr.pl,391,154,15,
uvl_outputs_10models\ISO_DATA\ISO_DATA__Reduced_c1_M10.uvl,..\kr_outputs_10models\ISO_DATA__Reduced_c1_M10.kr.pl,432,171,17,
uvl_outputs_10models\ISO_DATA\ISO_DATA__Reduced_c2_M01.uvl,..\kr_outputs_10models\ISO_DATA__Reduced_c2_M01.kr.pl,41,13,4,
uvl_outputs_10models\ISO_DATA\ISO_DATA__Reduced_c2_M02.uvl,..\kr_outputs_10models\ISO_DATA__Reduced_c2_M02.kr.pl,73,23,5,
