uvl_file,kr_file,features,groups,constraints,error
C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\uvl_defective_models\DEFECTIVE_ISO_DATA__Reduced_c1_M01.uvl,kr_outputs_defective\DEFECTIVE_ISO_DATA__Reduced_c1_M01.kr.pl,53,13,6,
C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\uvl_defective_models\DEFECTIVE_ISO_DATA__Reduced_c1_M02.uvl,kr_outputs_defective\DEFECTIVE_ISO_DATA__Reduced_c1_M02.kr.pl,77,23,8,
C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\uvl_defective_models\DEFECTIVE_ISO_DATA__Reduced_c1_M03.uvl,kr_outputs_defective\DEFECTIVE_ISO_DATA__Reduced_c1_M03.kr.pl,111,37,10,
C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\uvl_defective_models\DEFECTIVE_ISO_DATA__Reduced_c1_M04.uvl,kr_outputs_defective\DEFECTIVE_ISO_DATA__Reduced_c1_M04.kr.pl,153,55,10,
C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\uvl_defective_models\DEFECTIVE_ISO_DATA__Reduced_c1_M05.uvl,kr_outputs_defective\DEFECTIVE_ISO_DATA__Reduced_c1_M05.kr.pl,206,77,14,
C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\uvl_defective_models\DEFECTIVE_ISO_DATA__Reduced_c1_M06.uvl,kr_outputs_defective\DEFECTIVE_ISO_DATA__Reduced_c1_M06.kr.pl,254,97,14,
C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\uvl_defective_models\DEFECTIVE_ISO_DATA__Reduced_c1_M07.uvl,kr_outputs_defective\DEFECTIVE_ISO_DATA__Reduced_c1_M07.kr.pl,301,117,14,
C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\uvl_defective_models\DEFECTIVE_ISO_DATA__Reduced_c1_M08.uvl,kr_outputs_defective\DEFECTIVE_ISO_DATA__Reduced_c1_M08.kr.pl,351,137,14,
C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\uvl_defective_models\DEFECTIVE_ISO_DATA__Reduced_c1_M09.uvl,kr_outputs_defective\DEFECTIVE_ISO_DATA__Reduced_c1_M09.kr.pl,391,154,16,
C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\uvl_defective_models\DEFECTIVE_ISO_DATA__Reduced_c1_M10.uvl,kr_outputs_defective\DEFECTIVE_ISO_DATA__Reduced_c1_M10.kr.pl,432,171,18,
C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\uvl_defective_models\DEFECTIVE_ISO_DATA__Reduced_c2_M01.uvl,kr_outputs_defective\DEFECTIVE_ISO_DATA__Reduced_c2_M01.kr.pl,41,13,5,
C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\uvl_defective_models\DEFECTIVE_ISO_DATA__Reduced_c2_M02.uvl,kr_outputs_defective\DEFECTIVE_ISO_DATA__Reduced_c2_M02.kr.pl,73,23,6,
C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\uvl_defective_models\DEFECTIVE_ISO_DATA__Reduced_c2_M03.uvl,kr_outputs_defective\DEFECTIVE_ISO_DATA__Reduced_c2_M03.kr.pl,101,35,6,
C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\uvl_defective_models\DEFECTIVE_ISO_DATA__Reduced_c2_M04.uvl,kr_outputs_defective\DEFECTIVE_ISO_DATA__Reduced_c2_M04.kr.pl,139,51,6,
C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\uvl_defective_models\DEFECTIVE_ISO_DATA__Reduced_c2_M05.uvl,kr_outputs_defective\DEFECTIVE_ISO_DATA__Reduced_c2_M05.kr.pl,188,71,8,
C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\uvl_defective_models\DEFECTIVE_ISO_DATA__Reduced_c2_M06.uvl,kr_outputs_defective\DEFECTIVE_ISO_DATA__Reduced_c2_M06.kr.pl,235,91,10,
C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\uvl_defective_models\DEFECTIVE_ISO_DATA__Reduced_c2_M07.uvl,kr_outputs_defective\DEFECTIVE_ISO_DATA__Reduced_c2_M07.kr.pl,287,113,10,
C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\uvl_defective_models\DEFECTIVE_ISO_DATA__Reduced_c2_M08.uvl,kr_outputs_defective\DEFECTIVE_ISO_DATA__Reduced_c2_M08.kr.pl,327,129,12,
C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\uvl_defective_models\DEFECTIVE_ISO_DATA__Reduced_c2_M09.uvl,kr_outputs_defective\DEFECTIVE_ISO_DATA__Reduced_c2_M09.kr.pl,356,141,12,
C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\uvl_defective_models\DEFECTIVE_ISO_DATA__Reduced_c2_M10.uvl,kr_outputs_defective\DEFECTIVE_ISO_DATA__Reduced_c2_M10.kr.pl,376,149,12,
C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\uvl_defective_models\DEFECTIVE_ISO_DATA__Reduced_c3_M01.uvl,kr_outputs_defective\DEFECTIVE_ISO_DATA__Reduced_c3_M01.kr.pl,42,13,3,
