File_Name,Source_File,DF1_DeadFeature,FO_FalseOptional,RE_Redundancy
ISO_DATA__Reduced_c1_M01_injected.uvl,ISO_DATA__Reduced_c1_M01.uvl,medicare_59_branch_mf,item_cat35__iss3__item120__verification_is_performed_for_materials_according_to_the_approved_procedure_including_verification_upon_replacement_of_the_isotonic_reagent,medicare_9_branch_ms
ISO_DATA__Reduced_c1_M02_injected.uvl,ISO_DATA__Reduced_c1_M02.uvl,medicare_11_branch_mm,medicare_58_branch_mq,AuditPlan
ISO_DATA__Reduced_c1_M03_injected.uvl,ISO_DATA__Reduced_c1_M03.uvl,Answers__cat67__iss3__item107,item_cat29__iss2__item1937933__the_laboratory_performs_rf_quality_control_as_per_the_established_sop_and_records_the_results_on_the_approved_control_documentation_form__not_applicable,item_cat35__iss3__item230__verification_is_performed_to_ensure_that_the_section_area_is_cleaned_routinely_following_the_established_cleaning_protocol
ISO_DATA__Reduced_c1_M04_injected.uvl,ISO_DATA__Reduced_c1_M04.uvl,iso_active,medicare_53_branch_mp,item_cat67__iss3__item1937169__the_staff_member_demonstrates_understanding_of_the_device_s_operating_principle_and_the_materials_required_for_its_operation__not_applicable
ISO_DATA__Reduced_c1_M05_injected.uvl,ISO_DATA__Reduced_c1_M05.uvl,item_cat46__iss2__item102579__delivery_of_pathology_results_to_the_referring_medical_institutions_shall_be_monitored_to_ensure_they_are_transmitted_using_the_agreed_method_the_transmission_and_receipt_by_the_receiving_entity_shall_be_documented_in_accordance_with_the_approved_procedure__not_applicable,Answers__cat35__iss3__item1937126,item_cat29__iss2__item1937934__the_laboratory_performs_asot_quality_control_as_per_the_established_sop_and_records_all_results_on_the_approved_control_form__not_applicable
ISO_DATA__Reduced_c1_M06_injected.uvl,ISO_DATA__Reduced_c1_M06.uvl,item_cat29__iss2__item224__the_laboratory_performs_crp_quality_control_as_per_the_established_sop_and_records_all_results_on_the_approved_control_form__not_applicable,medicare_12_branch_mb,AuditPlan
ISO_DATA__Reduced_c1_M07_injected.uvl,ISO_DATA__Reduced_c1_M07.uvl,item_cat46__iss2__item102579__delivery_of_pathology_results_to_the_referring_medical_institutions_shall_be_monitored_to_ensure_they_are_transmitted_using_the_agreed_method_the_transmission_and_receipt_by_the_receiving_entity_shall_be_documented_in_accordance_with_the_approved_procedure__not_applicable,item_cat67__iss3__item39__staff_adhere_to_wearing_gloves_while_working_in_the_laboratory_sections_in_accordance_with_safety_requirements__no,item_cat29__iss2__item224__the_laboratory_performs_crp_quality_control_as_per_the_established_sop_and_records_all_results_on_the_approved_control_form__not_applicable
ISO_DATA__Reduced_c1_M08_injected.uvl,ISO_DATA__Reduced_c1_M08.uvl,item_cat35__iss3__item230__verification_is_performed_to_ensure_that_the_section_area_is_cleaned_routinely_following_the_established_cleaning_protocol__good_clean,item_cat67__iss3__item39__staff_adhere_to_wearing_gloves_while_working_in_the_laboratory_sections_in_accordance_with_safety_requirements,item_cat29__iss2__item1937934__the_laboratory_performs_asot_quality_control_as_per_the_established_sop_and_records_all_results_on_the_approved_control_form
ISO_DATA__Reduced_c1_M09_injected.uvl,ISO_DATA__Reduced_c1_M09.uvl,item_cat67__iss3__item107__monthly_hba1c_comparison_testing_is_performed_between_branches_using_small_analyzers_without_internal_control_and_branches_with_a_validated_analyzer_and_active_quality_control__not_applicable,item_cat25__iss2__item86__phlebotomy_staff_ensure_the_phlebotomy_room_is_cleaned_and_disinfected_after_each_use_and_prior_to_exiting,Answers__cat35__iss3__item230
ISO_DATA__Reduced_c1_M10_injected.uvl,ISO_DATA__Reduced_c1_M10.uvl,item_cat28__iss2__item1938080__the_semen_software_is_used_to_perform_semen_analysis_and_calculate_the_total_sperm_count_in_accordance_with_the_approved_procedure,item_cat63__iss1__item5215955__laboratory_management_shall_ensure_that_patients_well_being_safety_and_rights_are_the_primary_considerations_the_laboratory_shall_establish_and_implement_the_following_processes_a_opportunities_for_patients_and_laboratory_users_to_provide_helpful_information_to_aid_the_laboratory_in_the_selection_of_the_examination_methods_and_the_interpretation_of_the_examination_results_b_provision_of_patients_and_users_with_publicly_available_information_about_the_examination_process_including_costs_when_applicable_and_when_to_expect_results_c_periodic_review_of_the_examinations_offered_by_the_laboratory_to_ensure_they_are_clinically_appropriate_and_necessary_d_where_appropriate_disclosure_to_patients_users_and_any_other_relevant_persons_of_incidents_that_resulted_or_could_have_resulted_in_patient_harm_and_records_of_actions_taken_to_mitigate_those_harms_e_treatment_of_patients_samples_or_remains_with_due_care_and_respect_f_obtaining_informed_consent_when_required_g_ensuring_the_ongoing_availability_and_integrity_of_retained_patient_samples_and_records_in_the_event_of_the_closure_acquisition_or_merger_of_the_laboratory_h_making_relevant_information_available_to_a_patient_and_any_other_health_service_provider_at_the_request_of_the_patient_or_the_request_of_a_healthcare_provider_acting_on_their_behalf_i_upholding_the_rights_of_patients_to_care_that_is_free_from_discrimination_clause_4_3__yes,Answers__cat35__iss3__item1937302
