uvl_file,kr_file,features,groups,constraints,error
C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\uvl_scientific_defects_v5\ISO_DATA__Reduced_c1_M01_injected.uvl,C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\prolog_facts_v5\ISO_DATA__Reduced_c1_M01_injected.kr.pl,59,14,7,
C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\uvl_scientific_defects_v5\ISO_DATA__Reduced_c1_M02_injected.uvl,C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\prolog_facts_v5\ISO_DATA__Reduced_c1_M02_injected.kr.pl,87,24,11,
C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\uvl_scientific_defects_v5\ISO_DATA__Reduced_c1_M03_injected.uvl,C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\prolog_facts_v5\ISO_DATA__Reduced_c1_M03_injected.kr.pl,122,38,15,
C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\uvl_scientific_defects_v5\ISO_DATA__Reduced_c1_M04_injected.uvl,C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\prolog_facts_v5\ISO_DATA__Reduced_c1_M04_injected.kr.pl,165,56,15,
C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\uvl_scientific_defects_v5\ISO_DATA__Reduced_c1_M05_injected.uvl,C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\prolog_facts_v5\ISO_DATA__Reduced_c1_M05_injected.kr.pl,218,78,21,
C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\uvl_scientific_defects_v5\ISO_DATA__Reduced_c1_M06_injected.uvl,C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\prolog_facts_v5\ISO_DATA__Reduced_c1_M06_injected.kr.pl,268,98,21,
C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\uvl_scientific_defects_v5\ISO_DATA__Reduced_c1_M07_injected.uvl,C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\prolog_facts_v5\ISO_DATA__Reduced_c1_M07_injected.kr.pl,315,118,23,
C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\uvl_scientific_defects_v5\ISO_DATA__Reduced_c1_M08_injected.uvl,C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\prolog_facts_v5\ISO_DATA__Reduced_c1_M08_injected.kr.pl,362,138,23,
C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\uvl_scientific_defects_v5\ISO_DATA__Reduced_c1_M09_injected.uvl,C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\prolog_facts_v5\ISO_DATA__Reduced_c1_M09_injected.kr.pl,403,155,27,
C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\uvl_scientific_defects_v5\ISO_DATA__Reduced_c1_M10_injected.uvl,C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\prolog_facts_v5\ISO_DATA__Reduced_c1_M10_injected.kr.pl,444,172,31,
