uvl_file,kr_file,features,groups,constraints,error
C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\uvl_scientific_defects_v5\ISO_DATA__Reduced_c1_M01_injected.uvl,C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\prolog_facts_v5\ISO_DATA__Reduced_c1_M01_injected.kr.pl,53,13,8,
C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\uvl_scientific_defects_v5\ISO_DATA__Reduced_c1_M02_injected.uvl,C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\prolog_facts_v5\ISO_DATA__Reduced_c1_M02_injected.kr.pl,77,23,10,
C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\uvl_scientific_defects_v5\ISO_DATA__Reduced_c1_M03_injected.uvl,C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\prolog_facts_v5\ISO_DATA__Reduced_c1_M03_injected.kr.pl,111,37,12,
C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\uvl_scientific_defects_v5\ISO_DATA__Reduced_c1_M04_injected.uvl,C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\prolog_facts_v5\ISO_DATA__Reduced_c1_M04_injected.kr.pl,153,55,12,
C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\uvl_scientific_defects_v5\ISO_DATA__Reduced_c1_M05_injected.uvl,C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\prolog_facts_v5\ISO_DATA__Reduced_c1_M05_injected.kr.pl,206,77,16,
C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\uvl_scientific_defects_v5\ISO_DATA__Reduced_c1_M06_injected.uvl,C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\prolog_facts_v5\ISO_DATA__Reduced_c1_M06_injected.kr.pl,254,97,16,
C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\uvl_scientific_defects_v5\ISO_DATA__Reduced_c1_M07_injected.uvl,C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\prolog_facts_v5\ISO_DATA__Reduced_c1_M07_injected.kr.pl,301,117,16,
C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\uvl_scientific_defects_v5\ISO_DATA__Reduced_c1_M08_injected.uvl,C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\prolog_facts_v5\ISO_DATA__Reduced_c1_M08_injected.kr.pl,351,137,16,
C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\uvl_scientific_defects_v5\ISO_DATA__Reduced_c1_M09_injected.uvl,C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\prolog_facts_v5\ISO_DATA__Reduced_c1_M09_injected.kr.pl,391,154,18,
C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\uvl_scientific_defects_v5\ISO_DATA__Reduced_c1_M10_injected.uvl,C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\prolog_facts_v5\ISO_DATA__Reduced_c1_M10_injected.kr.pl,432,171,20,
C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\uvl_scientific_defects_v5\ISO_DATA__Reduced_c2_M01_injected.uvl,C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\prolog_facts_v5\ISO_DATA__Reduced_c2_M01_injected.kr.pl,41,13,7,
C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\uvl_scientific_defects_v5\ISO_DATA__Reduced_c2_M02_injected.uvl,C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\prolog_facts_v5\ISO_DATA__Reduced_c2_M02_injected.kr.pl,73,23,8,
C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\uvl_scientific_defects_v5\ISO_DATA__Reduced_c2_M03_injected.uvl,C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\prolog_facts_v5\ISO_DATA__Reduced_c2_M03_injected.kr.pl,101,35,8,
C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\uvl_scientific_defects_v5\ISO_DATA__Reduced_c2_M04_injected.uvl,C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\prolog_facts_v5\ISO_DATA__Reduced_c2_M04_injected.kr.pl,139,51,8,
C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\uvl_scientific_defects_v5\ISO_DATA__Reduced_c2_M05_injected.uvl,C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\prolog_facts_v5\ISO_DATA__Reduced_c2_M05_injected.kr.pl,188,71,10,
C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\uvl_scientific_defects_v5\ISO_DATA__Reduced_c2_M06_injected.uvl,C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\prolog_facts_v5\ISO_DATA__Reduced_c2_M06_injected.kr.pl,235,91,12,
C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\uvl_scientific_defects_v5\ISO_DATA__Reduced_c2_M07_injected.uvl,C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\prolog_facts_v5\ISO_DATA__Reduced_c2_M07_injected.kr.pl,287,113,12,
C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\uvl_scientific_defects_v5\ISO_DATA__Reduced_c2_M08_injected.uvl,C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\prolog_facts_v5\ISO_DATA__Reduced_c2_M08_injected.kr.pl,327,129,14,
C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\uvl_scientific_defects_v5\ISO_DATA__Reduced_c2_M09_injected.uvl,C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\prolog_facts_v5\ISO_DATA__Reduced_c2_M09_injected.kr.pl,356,141,14,
C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\uvl_scientific_defects_v5\ISO_DATA__Reduced_c2_M10_injected.uvl,C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\prolog_facts_v5\ISO_DATA__Reduced_c2_M10_injected.kr.pl,376,149,14,
C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\uvl_scientific_defects_v5\ISO_DATA__Reduced_c3_M01_injected.uvl,C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\prolog_facts_v5\ISO_DATA__Reduced_c3_M01_injected.kr.pl,42,13,5,
C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\uvl_scientific_defects_v5\ISO_DATA__Reduced_c3_M02_injected.uvl,C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\prolog_facts_v5\ISO_DATA__Reduced_c3_M02_injected.kr.pl,73,23,6,
C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\uvl_scientific_defects_v5\ISO_DATA__Reduced_c3_M03_injected.uvl,C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\prolog_facts_v5\ISO_DATA__Reduced_c3_M03_injected.kr.pl,100,35,6,
C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\uvl_scientific_defects_v5\ISO_DATA__Reduced_c3_M04_injected.uvl,C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\prolog_facts_v5\ISO_DATA__Reduced_c3_M04_injected.kr.pl,138,51,8,
C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\uvl_scientific_defects_v5\ISO_DATA__Reduced_c3_M05_injected.uvl,C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\prolog_facts_v5\ISO_DATA__Reduced_c3_M05_injected.kr.pl,187,71,8,
C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\uvl_scientific_defects_v5\ISO_DATA__Reduced_c3_M06_injected.uvl,C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\prolog_facts_v5\ISO_DATA__Reduced_c3_M06_injected.kr.pl,236,91,10,
C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\uvl_scientific_defects_v5\ISO_DATA__Reduced_c3_M07_injected.uvl,C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\prolog_facts_v5\ISO_DATA__Reduced_c3_M07_injected.kr.pl,288,113,10,
C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\uvl_scientific_defects_v5\ISO_DATA__Reduced_c3_M08_injected.uvl,C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\prolog_facts_v5\ISO_DATA__Reduced_c3_M08_injected.kr.pl,327,129,10,
C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\uvl_scientific_defects_v5\ISO_DATA__Reduced_c3_M09_injected.uvl,C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\prolog_facts_v5\ISO_DATA__Reduced_c3_M09_injected.kr.pl,355,141,12,
C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\uvl_scientific_defects_v5\ISO_DATA__Reduced_c3_M10_injected.uvl,C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\prolog_facts_v5\ISO_DATA__Reduced_c3_M10_injected.kr.pl,375,149,12,
C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\uvl_scientific_defects_v5\ISO_DATA__Reduced_c4_M01_injected.uvl,C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\prolog_facts_v5\ISO_DATA__Reduced_c4_M01_injected.kr.pl,44,13,6,
C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\uvl_scientific_defects_v5\ISO_DATA__Reduced_c4_M02_injected.uvl,C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\prolog_facts_v5\ISO_DATA__Reduced_c4_M02_injected.kr.pl,68,23,6,
